,Iteration,Linf,L2
0,5.0,1.3545894622802734,7222.50341796875
1,10.0,1.4874024391174316,18444.2109375
2,15.0,1.6329184770584106,35357.7421875
3,20.0,1.9469493627548218,93250.921875
4,25.0,2.1192188262939453,121487.9921875
5,30.0,2.3154616355895996,174800.921875
6,35.0,2.5567519664764404,237109.9375
7,40.0,3.0350093841552734,383378.3125
8,45.0,3.357715129852295,481591.75
9,50.0,3.685664176940918,595955.25
10,55.0,4.05809211730957,733059.375
11,60.0,4.823897361755371,1062321.375
12,65.0,5.2841668128967285,1273947.0
13,70.0,5.78344202041626,1522564.0
14,75.0,6.303650379180908,1821209.0
15,80.0,7.5116753578186035,2595890.5
16,85.0,8.205164909362793,3096279.0
17,90.0,8.963857650756836,3692781.0
18,95.0,9.789201736450195,4403856.0
19,100.0,11.669617652893066,6262562.0
20,105.0,12.741142272949219,7467845.5
21,110.0,13.91159439086914,8904926.0
