,iteration,iou,pixelwise accuracy,L2 norm,Linf norm
0,0.0,0.0005200412881265119,0.9195022583007812,0.18575045466423035,0.006539702415466309
1,50.0,0.22502816890310684,0.9313945770263672,4.277670860290527,0.08997702598571777
2,100.0,0.4437291688006745,0.943967342376709,5.378555774688721,0.09931731224060059
3,150.0,0.5463348908307266,0.9497880935668945,5.93727445602417,0.10153675079345703
4,200.0,0.6037915737552496,0.9529008865356445,6.317773818969727,0.10273230075836182
5,250.0,0.6425976850283265,0.9549264907836914,6.605539798736572,0.10405588150024414
6,300.0,0.6728309944607723,0.9565606117248535,6.834874153137207,0.10791313648223877
7,350.0,0.6972256585219796,0.9578452110290527,7.024117946624756,0.11054050922393799
8,400.0,0.7153719477122124,0.9587750434875488,7.186196804046631,0.11267566680908203
9,450.0,0.7301143302892533,0.9595227241516113,7.328447341918945,0.1143651008605957
10,500.0,0.7427686683003317,0.9601712226867676,7.455649375915527,0.11581242084503174
11,550.0,0.7524288291979545,0.960665225982666,7.570093154907227,0.11678171157836914
12,600.0,0.7611828575480841,0.961118221282959,7.674914836883545,0.11776983737945557
13,650.0,0.768613144437528,0.9614911079406738,7.7715582847595215,0.11861860752105713
14,700.0,0.774270563299268,0.9617571830749512,7.861172199249268,0.1192772388458252
15,750.0,0.77907700550771,0.9619789123535156,7.9467339515686035,0.11984014511108398
16,799.0,0.7833318887741997,0.9621758460998535,8.027091979980469,0.12031126022338867
