,iteration,iou,pixelwise accuracy,L2 norm,Linf norm
0,0.0,0.0005121618746700495,0.919550895690918,0.08443205803632736,0.0029726028442382812
1,50.0,0.03259713346938454,0.9210443496704102,2.651350498199463,0.05375468730926514
2,100.0,0.2080243946640612,0.9304132461547852,4.164429664611816,0.08902156352996826
3,150.0,0.366802455225233,0.939537525177002,5.000857353210449,0.09662246704101562
4,200.0,0.4813060915745432,0.9460906982421875,5.573616981506348,0.10022830963134766
5,250.0,0.5590995406301955,0.9505057334899902,6.009210109710693,0.10137641429901123
6,300.0,0.6114267253945617,0.9533157348632812,6.361334800720215,0.10275745391845703
7,350.0,0.6510286574267412,0.9554061889648438,6.6550750732421875,0.103690505027771
8,400.0,0.68564292074098,0.9572772979736328,6.902530670166016,0.10685074329376221
9,450.0,0.7096672523697336,0.9585022926330566,7.116663455963135,0.10974431037902832
10,500.0,0.7289402976842404,0.9594841003417969,7.308255672454834,0.11223447322845459
11,550.0,0.7451009746834446,0.9603004455566406,7.481971263885498,0.11430227756500244
12,600.0,0.7580704892327815,0.9609532356262207,7.639988422393799,0.11583983898162842
13,650.0,0.7691095474852851,0.9615035057067871,7.785378932952881,0.11699891090393066
14,700.0,0.77791873172961,0.9619340896606445,7.921078205108643,0.11796355247497559
15,750.0,0.78460047434069,0.9622197151184082,8.049163818359375,0.11879849433898926
16,799.0,0.7897693695681294,0.9624323844909668,8.169126510620117,0.11944544315338135
