,Iteration,Linf,L2
0,5.0,1.3079679012298584,7108.5458984375
1,10.0,1.4684826135635376,16865.34765625
2,15.0,1.4741415977478027,25294.55859375
3,20.0,1.487444281578064,42013.54296875
4,25.0,1.4978134632110596,52981.59765625
5,30.0,1.501366138458252,61059.87109375
6,35.0,1.524187684059143,69438.640625
7,40.0,1.5224000215530396,87603.0703125
8,45.0,1.531391978263855,95548.109375
9,50.0,1.545405387878418,103250.75
10,55.0,1.577600121498108,108778.859375
11,60.0,1.6095600128173828,126096.875
12,65.0,1.600543737411499,133172.9375
