,iteration,iou,pixelwise accuracy,L2 norm,Linf norm,selected distance
0,0,0.029450752926488844,untargeted,0.20283210277557373,0.009112000465393066,0.0
1,50,0.03396761048415944,untargeted,5.170683860778809,0.14342916011810303,2027.082275390625
2,100,0.03674155017990279,untargeted,8.230940818786621,0.21457958221435547,3325.33837890625
3,150,0.03902803397462424,untargeted,10.695191383361816,0.25580012798309326,4398.35595703125
4,200,0.041430244709876066,untargeted,12.921562194824219,0.2683849334716797,5384.86767578125
5,250,0.04602074668424781,untargeted,14.964850425720215,0.27475905418395996,6305.11328125
6,300,0.05309762444152984,untargeted,16.856908798217773,0.3120041489601135,7169.70703125
7,350,0.062906359370726,untargeted,18.599027633666992,0.3735284209251404,7965.4453125
8,400,0.07580815980137048,untargeted,20.189666748046875,0.42085886001586914,8694.0146484375
9,450,0.09081408642347644,untargeted,21.648456573486328,0.4755871295928955,9361.0068359375
10,500,0.10374744874699285,untargeted,22.989505767822266,0.5190985798835754,9977.58984375
11,550,0.11612672450675775,untargeted,24.247394561767578,0.5495057702064514,10558.9345703125
12,600,0.12841482146489266,untargeted,25.43304443359375,0.5711174607276917,11109.27734375
13,650,0.13984022668452836,untargeted,26.53919792175293,0.5789365768432617,11623.7822265625
14,700,0.1503433232569068,untargeted,27.5958194732666,0.588293731212616,12114.068359375
15,750,0.1597733154716399,untargeted,28.601879119873047,0.5994595885276794,12581.357421875
16,800,0.16807058641996955,untargeted,29.572608947753906,0.6086599230766296,13033.900390625
17,850,0.17614341724121002,untargeted,30.512849807739258,0.6176102757453918,13474.1513671875
18,900,0.18364112023678433,untargeted,31.423425674438477,0.625870406627655,13899.3505859375
19,950,0.19127559143480366,untargeted,32.29464340209961,0.6325989961624146,14305.228515625
20,1000,0.19825778351346993,untargeted,33.131412506103516,0.6391385793685913,14694.078125
21,1050,0.2063726968585396,untargeted,33.96268844604492,0.6460846066474915,15085.947265625
22,1100,0.21354075341745163,untargeted,34.774600982666016,0.6535695791244507,15471.5830078125
23,1150,0.2216100773617063,untargeted,35.57364273071289,0.6614697575569153,15849.1435546875
24,1200,0.22868344824200257,untargeted,36.34641647338867,0.6699138283729553,16212.38671875
25,1250,0.23573227098339844,untargeted,37.08497619628906,0.6772135496139526,16556.0859375
26,1300,0.2449974399798004,untargeted,37.84148406982422,0.6800603270530701,16910.298828125
27,1350,0.25385230436886735,untargeted,38.584190368652344,0.6842138171195984,17260.025390625
28,1400,0.26237401544428623,untargeted,39.306026458740234,0.6909418106079102,17597.00390625
29,1450,0.27063621762275825,untargeted,40.00117492675781,0.696308434009552,17921.640625
30,1500,0.27891595418615905,untargeted,40.669124603271484,0.6998432278633118,18233.41796875
31,1550,0.28643119156666225,untargeted,41.31374740600586,0.7034464478492737,18533.8828125
32,1599,0.29378511260582,untargeted,41.92685317993164,0.7063319087028503,18820.333984375
