,iteration,iou,pixelwise accuracy,L2 norm,Linf norm
0,0.0,0.6354002761632574,0.9194149971008301,0.13321667909622192,0.0029726028442382812
1,50.0,0.709114519579772,0.9337291717529297,3.4981629848480225,0.04381728172302246
2,100.0,0.7584748049705017,0.9438991546630859,4.500049114227295,0.04776477813720703
3,150.0,0.7696599075163846,0.9458837509155273,5.06892728805542,0.05087876319885254
4,200.0,0.773841275724807,0.9464998245239258,5.4890007972717285,0.054198622703552246
5,250.0,0.7769664501279486,0.9470462799072266,5.823112964630127,0.05672633647918701
6,300.0,0.7785541515781396,0.9472408294677734,6.085537433624268,0.05848348140716553
7,350.0,0.779007087184744,0.9471316337585449,6.295742511749268,0.05993390083312988
8,400.0,0.7780717362802023,0.9467148780822754,6.469839096069336,0.06303179264068604
9,450.0,0.7766390263578399,0.9461793899536133,6.6181745529174805,0.06533288955688477
10,500.0,0.7753498644908037,0.9457335472106934,6.745554447174072,0.06730937957763672
11,550.0,0.7743055222238648,0.9452991485595703,6.853175640106201,0.06930577754974365
12,600.0,0.7727510850238036,0.9447774887084961,6.945217609405518,0.07101285457611084
13,650.0,0.771004547081718,0.9441790580749512,7.027050495147705,0.0724860429763794
14,700.0,0.7694092602852004,0.9436478614807129,7.100947380065918,0.07387411594390869
15,750.0,0.7679151908715969,0.9431514739990234,7.167215347290039,0.0751643180847168
16,800.0,0.7663011824047319,0.9426431655883789,7.227527618408203,0.07622802257537842
17,850.0,0.7649764647497593,0.9422116279602051,7.282735347747803,0.07713496685028076
18,900.0,0.7636419202183907,0.9417896270751953,7.333024501800537,0.0778573751449585
19,950.0,0.762310443116102,0.9413700103759766,7.379546642303467,0.07853007316589355
20,999.0,0.7609964901543325,0.9409523010253906,7.421928405761719,0.07916128635406494
