,iteration,iou,pixelwise accuracy,L2 norm,Linf norm,selected distance
0,0,0.14567474117992024,untargeted,0.10351456701755524,0.002596616744995117,0.0
1,20,0.3772743883793632,untargeted,1.755234956741333,0.022756993770599365,2115.151123046875
2,40,0.5334251187538926,untargeted,2.4165358543395996,0.0316309928894043,3084.705078125
3,60,0.5988956405926973,untargeted,2.745981216430664,0.03725734353065491,3618.71533203125
4,80,0.6328528814513417,untargeted,2.9813766479492188,0.038861870765686035,4011.71826171875
5,100,0.664699352641641,untargeted,3.1917426586151123,0.03938677906990051,4348.62646484375
6,120,0.6981065760644463,untargeted,3.3790671825408936,0.039719581604003906,4638.046875
7,140,0.7327884848259217,untargeted,3.536515235900879,0.041427016258239746,4877.7861328125
8,160,0.766531905244495,untargeted,3.6679227352142334,0.04288482666015625,5076.79150390625
9,180,0.7990442748515676,untargeted,3.777117967605591,0.04382121562957764,5242.3681640625
10,200,0.8241458588683288,untargeted,3.8713181018829346,0.04487204551696777,5385.4140625
11,220,0.8455213276190818,untargeted,3.952439069747925,0.045888543128967285,5509.4140625
12,240,0.8590000978054269,untargeted,4.020693778991699,0.04671001434326172,5614.6064453125
13,260,0.8707480855245902,untargeted,4.081882476806641,0.0474623441696167,5709.0673828125
14,280,0.8823305897346435,untargeted,4.1366987228393555,0.04813385009765625,5794.22265625
15,300,0.892951093928492,untargeted,4.185653209686279,0.04873299598693848,5870.6865234375
16,320,0.9010198035442641,untargeted,4.229446887969971,0.04918217658996582,5939.4736328125
17,340,0.9078317979345675,untargeted,4.269410610198975,0.04958963394165039,6002.4599609375
18,360,0.9136010914779531,untargeted,4.306097030639648,0.04995453357696533,6060.53076171875
19,380,0.9183133633119527,untargeted,4.340100288391113,0.050289273262023926,6114.53955078125
20,399,0.922148357625297,untargeted,4.370301246643066,0.05058145523071289,6162.6591796875
