,iteration,iou,pixelwise accuracy,L2 norm,Linf norm
0,0.0,0.0005121618746700495,0.9195876121520996,0.0168863907456398,0.0005944967269897461
1,50.0,0.0005279207015829742,0.9194536209106445,0.7066406011581421,0.020922720432281494
2,100.0,0.0005279207015829742,0.9195718765258789,1.2563954591751099,0.03258848190307617
3,150.0,0.0013552591145115157,0.9196577072143555,1.7685209512710571,0.038144588470458984
4,200.0,0.019596101266221744,0.9205546379089355,2.264859437942505,0.04428660869598389
5,250.0,0.03802604934088706,0.921196460723877,2.7737436294555664,0.0570603609085083
6,300.0,0.07011890034905802,0.922607421875,3.3010690212249756,0.07258391380310059
7,350.0,0.16348207039467982,0.927793025970459,3.9175407886505127,0.08580982685089111
8,400.0,0.2908291506780235,0.9351806640625,4.5773606300354,0.09240448474884033
9,450.0,0.41656095120279246,0.9423971176147461,5.216663837432861,0.09820413589477539
10,500.0,0.5280231339579081,0.9487462043762207,5.792597770690918,0.1006544828414917
11,550.0,0.60454799744707,0.952911376953125,6.29712438583374,0.10222327709197998
12,600.0,0.6649279427639406,0.9561576843261719,6.7253499031066895,0.10355091094970703
13,650.0,0.7090368992932166,0.9584755897521973,7.083151817321777,0.10678791999816895
14,700.0,0.7394593146486176,0.9600076675415039,7.393155097961426,0.1104968786239624
15,750.0,0.7623253724992711,0.9611601829528809,7.664137840270996,0.11322879791259766
16,799.0,0.7782811847486073,0.9619250297546387,7.90070915222168,0.11534309387207031
