,iteration,iou,pixelwise accuracy,L2 norm,Linf norm,selected distance
0,0,,untargeted,2.851161479949951,0.043588876724243164,0.0
1,50,,untargeted,8.898470878601074,0.06448888778686523,15266.0185546875
2,100,,untargeted,9.03660774230957,0.06465506553649902,15513.3994140625
3,150,,untargeted,9.086075782775879,0.06469571590423584,15599.833984375
4,200,,untargeted,9.116597175598145,0.06471967697143555,15651.96875
5,250,,untargeted,9.136919975280762,0.06473469734191895,15686.119140625
6,300,,untargeted,9.150724411010742,0.06474518775939941,15709.2109375
7,350,,untargeted,9.160146713256836,0.06475114822387695,15724.986328125
8,400,,untargeted,9.167015075683594,0.06475710868835449,15736.5087890625
9,450,,untargeted,9.172353744506836,0.06476306915283203,15745.4033203125
10,500,,untargeted,9.176551818847656,0.06476902961730957,15752.375
11,550,,untargeted,9.18009090423584,0.06477439403533936,15758.1982421875
12,600,,untargeted,9.182939529418945,0.06477797031402588,15762.8505859375
13,650,,untargeted,9.185243606567383,0.06478142738342285,15766.578125
14,700,,untargeted,9.18718147277832,0.06478250026702881,15769.69140625
15,750,,untargeted,9.1888427734375,0.06478250026702881,15772.3447265625
16,800,,untargeted,9.190226554870605,0.06478250026702881,15774.52734375
17,850,,untargeted,9.191461563110352,0.06478250026702881,15776.443359375
18,900,,untargeted,9.192593574523926,0.06478250026702881,15778.1962890625
19,950,,untargeted,9.193604469299316,0.06478250026702881,15779.755859375
20,1000,,untargeted,9.194454193115234,0.06478250026702881,15781.0654296875
21,1050,,untargeted,9.195176124572754,0.06478250026702881,15782.1669921875
22,1100,,untargeted,9.195752143859863,0.06478250026702881,15783.0302734375
23,1150,,untargeted,9.196295738220215,0.06478250026702881,15783.826171875
24,1200,,untargeted,9.196742057800293,0.06478250026702881,15784.478515625
25,1250,,untargeted,9.197127342224121,0.06478250026702881,15785.0361328125
26,1300,,untargeted,9.197484016418457,0.06478250026702881,15785.55078125
27,1350,,untargeted,9.197823524475098,0.06478250026702881,15786.033203125
28,1400,,untargeted,9.198101043701172,0.06478250026702881,15786.435546875
29,1450,,untargeted,9.198325157165527,0.06478250026702881,15786.7568359375
30,1500,,untargeted,9.198515892028809,0.06478250026702881,15787.0185546875
31,1550,,untargeted,9.198674201965332,0.06478250026702881,15787.2431640625
32,1599,,untargeted,9.198780059814453,0.06478250026702881,15787.38671875
