,iteration,iou,pixelwise accuracy,L2 norm,Linf norm
0,0.0,0.0005200412881265119,0.9195022583007812,0.18575045466423035,0.006539702415466309
1,50.0,0.22572155728727553,0.9314403533935547,4.280798435211182,0.09016168117523193
2,100.0,0.4418223507442106,0.9438247680664062,5.3849358558654785,0.09945797920227051
3,150.0,0.5456966583407531,0.9497394561767578,5.947055339813232,0.1017841100692749
4,200.0,0.6039570414378354,0.9529099464416504,6.327163219451904,0.10293269157409668
5,250.0,0.6429364998069543,0.9549684524536133,6.61390495300293,0.10377132892608643
6,300.0,0.6742335300560226,0.9566555023193359,6.842198371887207,0.10653626918792725
7,350.0,0.6985966764634041,0.9579410552978516,7.029194355010986,0.10869932174682617
8,400.0,0.7163411155673571,0.9588465690612793,7.190040588378906,0.11061728000640869
9,450.0,0.7311859305193321,0.9596052169799805,7.331569194793701,0.11215007305145264
10,500.0,0.7432650713480888,0.9602236747741699,7.4582695960998535,0.11351633071899414
11,550.0,0.7534531529472946,0.9607343673706055,7.572425365447998,0.11457669734954834
12,600.0,0.761742295903493,0.9611525535583496,7.676792144775391,0.11547219753265381
13,650.0,0.7684319179280295,0.9614748954772949,7.773518085479736,0.11629104614257812
14,700.0,0.7736953661169462,0.9617290496826172,7.863633632659912,0.11709058284759521
15,750.0,0.7785254465657576,0.9619603157043457,7.949479103088379,0.11791539192199707
16,800.0,0.7830639887166799,0.9621539115905762,8.03166675567627,0.11871981620788574
17,850.0,0.7866491218393703,0.9622998237609863,8.10989761352539,0.11945998668670654
18,900.0,0.7899190784238022,0.9624342918395996,8.185148239135742,0.12007379531860352
19,950.0,0.7932047938351469,0.9625663757324219,8.257394790649414,0.12064290046691895
20,1000.0,0.7957262061412148,0.9626493453979492,8.327516555786133,0.12116432189941406
21,1050.0,0.798200341966544,0.9627475738525391,8.396037101745605,0.12159836292266846
22,1100.0,0.8006902366187861,0.9628543853759766,8.463011741638184,0.12198090553283691
23,1150.0,0.8031170959633764,0.9629416465759277,8.528074264526367,0.12231564521789551
24,1200.0,0.8058512524327689,0.9630513191223145,8.591307640075684,0.12347221374511719
25,1250.0,0.808443579459945,0.9631590843200684,8.652856826782227,0.12508618831634521
26,1300.0,0.8110910623813163,0.9632549285888672,8.712679862976074,0.1267387866973877
27,1350.0,0.8134627658317115,0.9633479118347168,8.770856857299805,0.1283271312713623
28,1400.0,0.815550810397674,0.9634189605712891,8.827589988708496,0.12970507144927979
29,1450.0,0.8176624932040059,0.963505744934082,8.882918357849121,0.1310349702835083
30,1500.0,0.819931764279467,0.9635944366455078,8.937080383300781,0.13236403465270996
31,1550.0,0.8219882911916037,0.963686466217041,8.989964485168457,0.13370704650878906
32,1599.0,0.8238951092480675,0.9637675285339355,9.040098190307617,0.1349862813949585
