,Iteration,Linf,L2
0,5.0,0.957424521446228,3598.618896484375
1,10.0,1.085125207901001,9163.69140625
2,15.0,1.113351821899414,17638.044921875
3,20.0,1.2369740009307861,47462.52734375
4,25.0,1.2934376001358032,61069.39453125
5,30.0,1.409618616104126,86045.796875
6,35.0,1.470584750175476,114821.9375
7,40.0,1.771024227142334,179403.953125
8,45.0,1.9573798179626465,223256.625
9,50.0,2.066236734390259,272626.90625
10,55.0,2.2152180671691895,326672.5625
11,60.0,2.5589075088500977,447701.46875
12,65.0,2.781745433807373,522428.25
13,70.0,2.9741175174713135,602860.8125
14,75.0,3.18127179145813,699482.625
15,80.0,3.641301155090332,920153.5
16,85.0,3.8776767253875732,1048599.375
17,90.0,4.177602767944336,1197348.25
18,95.0,4.457143783569336,1360963.5
19,100.0,5.051560878753662,1752776.375
20,105.0,5.381644248962402,1989766.375
21,110.0,5.730643272399902,2257741.5
