,Iteration,Linf,L2
0,5.0,1.8494659662246704,12044.7998046875
1,10.0,1.8076260089874268,28510.9453125
2,15.0,1.8108325004577637,49726.9140625
3,20.0,1.7885667085647583,101279.703125
4,25.0,1.974079966545105,125631.90625
5,30.0,2.00752329826355,163677.6875
6,35.0,2.030139923095703,194627.546875
7,40.0,2.10831880569458,249712.6875
8,45.0,2.256553888320923,280635.8125
9,50.0,2.371644973754883,309861.0625
10,55.0,2.433565616607666,343384.375
11,60.0,2.6703619956970215,391711.125
12,65.0,2.691570997238159,418104.5625
13,70.0,2.889495611190796,445001.3125
14,75.0,2.970264434814453,469558.15625
15,80.0,2.9980597496032715,513263.46875
16,85.0,2.9890353679656982,534547.875
17,90.0,3.045034646987915,562030.25
18,95.0,3.0543806552886963,584630.5
19,100.0,3.2183642387390137,630759.25
20,105.0,3.2859435081481934,649180.375
21,110.0,3.3908097743988037,683617.375
22,115.0,3.4150583744049072,704202.875
23,120.0,3.678973436355591,730873.625
24,125.0,3.7516186237335205,738436.625
25,130.0,3.7868354320526123,752923.0
26,135.0,3.8269569873809814,761595.8125
27,140.0,3.8330602645874023,772940.875
28,145.0,3.835502862930298,780955.3125
29,150.0,3.8409504890441895,786572.4375
30,155.0,3.9185562133789062,791889.875
31,160.0,3.918499708175659,803149.75
32,165.0,3.9332427978515625,809478.6875
33,170.0,3.9687821865081787,815365.25
34,175.0,4.0826287269592285,822742.125
35,180.0,4.178116321563721,835635.25
36,185.0,4.228541374206543,842457.75
37,190.0,4.270164489746094,849447.875
38,195.0,4.309767723083496,856229.0
39,200.0,4.409482479095459,871194.25
40,205.0,4.4346232414245605,878659.5
41,210.0,4.4824137687683105,885853.625
42,215.0,4.509376049041748,892933.0
43,220.0,4.613914489746094,908477.8125
