,iteration,iou,pixelwise accuracy,L2 norm,Linf norm,selected distance
0,0,0.15264273142060164,untargeted,0.8793902397155762,0.030908584594726562,0.0
1,50,0.5575402734933761,untargeted,4.627377033233643,0.10877323150634766,1863.8721923828125
2,100,0.5877068154371898,untargeted,5.518280982971191,0.12462508678436279,2162.118408203125
3,150,0.6063132537658852,untargeted,5.999500751495361,0.13434886932373047,2334.32080078125
4,200,0.6217303386565047,untargeted,6.328354358673096,0.13986778259277344,2464.8740234375
5,250,0.6337790355674666,untargeted,6.601960182189941,0.14401650428771973,2579.87109375
6,300,0.6448792978679032,untargeted,6.846529960632324,0.14741730690002441,2684.838623046875
7,350,0.6535942439042135,untargeted,7.067714214324951,0.15041661262512207,2781.1162109375
8,400,0.6606053969856462,untargeted,7.2693657875061035,0.15329933166503906,2869.803955078125
9,450,0.6672206325182594,untargeted,7.456451416015625,0.15566730499267578,2951.96435546875
10,500,0.6728460894970683,untargeted,7.631078720092773,0.1569840908050537,3029.216552734375
11,550,0.6783582837370017,untargeted,7.798308849334717,0.15781772136688232,3103.257568359375
12,600,0.6826551780198683,untargeted,7.960078716278076,0.15871214866638184,3174.618896484375
13,650,0.6868585080975008,untargeted,8.115018844604492,0.15937447547912598,3242.8203125
14,700,0.6903231967774475,untargeted,8.26403522491455,0.16016411781311035,3308.1748046875
15,750,0.6938706192986869,untargeted,8.407069206237793,0.16056156158447266,3370.77685546875
16,800,0.6968537209562811,untargeted,8.546760559082031,0.1608666181564331,3431.738525390625
17,850,0.699420233093416,untargeted,8.683218002319336,0.1603611707687378,3491.2236328125
18,900,0.7022753019414651,untargeted,8.816408157348633,0.16047048568725586,3549.190673828125
19,950,0.7048989321670369,untargeted,8.946290016174316,0.16191351413726807,3605.5859375
20,1000,0.7076151378415997,untargeted,9.071651458740234,0.16705024242401123,3660.267822265625
21,1050,0.7107134644323109,untargeted,9.193717002868652,0.1720179319381714,3713.461181640625
22,1100,0.7135921715207294,untargeted,9.313024520874023,0.17665278911590576,3765.4345703125
23,1150,0.7168214818714705,untargeted,9.428642272949219,0.1804431676864624,3815.955078125
24,1200,0.7199582167732206,untargeted,9.54015827178955,0.18318843841552734,3864.79443359375
25,1250,0.7237193415775379,untargeted,9.648987770080566,0.1858760118484497,3912.408203125
26,1300,0.7287962212013693,untargeted,9.75543212890625,0.188498854637146,3958.703857421875
27,1350,0.7334407524778286,untargeted,9.858809471130371,0.1922132968902588,4003.37841796875
28,1400,0.7372481650066414,untargeted,9.959026336669922,0.19618821144104004,4046.5888671875
29,1450,0.7407010345664032,untargeted,10.056488990783691,0.19987475872039795,4088.51416015625
30,1500,0.7443853427486425,untargeted,10.151987075805664,0.20344150066375732,4129.453125
31,1550,0.7474984394100233,untargeted,10.245587348937988,0.2067810297012329,4169.4541015625
32,1599,0.7502875219999359,untargeted,10.33480453491211,0.20974242687225342,4207.4775390625
