,iteration,iou,pixelwise accuracy,L2 norm,Linf norm,selected distance
0,0,0.03277835997888317,untargeted,0.08335418254137039,0.002321600914001465,0.0
1,20,0.5065911293563307,untargeted,1.2538974285125732,0.022190332412719727,1340.7957763671875
2,40,0.7012284005578625,untargeted,1.7153830528259277,0.030653953552246094,1930.5614013671875
3,60,0.7475514722684043,untargeted,1.9544652700424194,0.03325855731964111,2278.275146484375
4,80,0.7772411021723543,untargeted,2.149829149246216,0.03557431697845459,2562.72900390625
5,100,0.8061270319037451,untargeted,2.3346357345581055,0.03691363334655762,2817.05126953125
6,120,0.8421044337459519,untargeted,2.498349905014038,0.03829169273376465,3032.1015625
7,140,0.8753004026380277,untargeted,2.631636619567871,0.039631009101867676,3203.52978515625
8,160,0.8989307635939581,untargeted,2.740783214569092,0.041042447090148926,3341.865234375
9,180,0.9182195677353778,untargeted,2.829655408859253,0.04260265827178955,3453.430419921875
10,200,0.9343172094269303,untargeted,2.9002931118011475,0.04388165473937988,3541.161376953125
11,220,0.9472394474955285,untargeted,2.9565248489379883,0.04491722583770752,3610.13232421875
12,240,0.9567026230567397,untargeted,3.0008084774017334,0.04557907581329346,3664.162109375
13,260,0.9642983776287694,untargeted,3.0368733406066895,0.046083688735961914,3707.751708984375
14,280,0.9700739876923562,untargeted,3.0663044452667236,0.04647207260131836,3743.13818359375
15,300,0.9743288709588458,untargeted,3.0907914638519287,0.04676997661590576,3772.500732421875
16,320,0.9774727569279743,untargeted,3.1122217178344727,0.04700899124145508,3797.95947265625
17,340,0.9800335663013245,untargeted,3.131131410598755,0.04722607135772705,3820.241943359375
18,360,0.9825077021266537,untargeted,3.14795184135437,0.04741179943084717,3839.953369140625
19,380,0.9845011937311386,untargeted,3.16275691986084,0.04757952690124512,3857.205078125
20,399,0.9862898205857556,untargeted,3.175053834915161,0.0477215051651001,3871.453857421875
