,iteration,iou,pixelwise accuracy,L2 norm,Linf norm,selected distance
0,0,0.15562832113436606,untargeted,6.395215034484863,0.23690390586853027,0.0
1,50,0.3464486647287357,untargeted,41.29544448852539,0.6259583830833435,18749.435546875
2,100,0.3780322970686393,untargeted,55.11183166503906,0.8854984641075134,25327.5703125
3,150,0.39626896304411263,untargeted,64.63069915771484,1.0258984565734863,29749.728515625
4,200,0.40530490587801593,untargeted,71.84725952148438,1.1238973140716553,33112.45703125
5,250,0.415113610632803,untargeted,77.8576431274414,1.26215660572052,35876.88671875
6,300,0.4287306036777593,untargeted,82.99421691894531,1.3255550861358643,38249.703125
7,350,0.4242405672806647,untargeted,87.59481811523438,1.3784440755844116,40367.984375
8,400,0.4391017535372181,untargeted,91.66079711914062,1.4036604166030884,42263.84375
9,450,0.44326521801420754,untargeted,95.37126922607422,1.4193516969680786,43987.33984375
10,500,0.4499824684918405,untargeted,98.75349426269531,1.4774692058563232,45549.90625
11,550,0.4492623280932834,untargeted,101.8844985961914,1.5353245735168457,46992.359375
12,600,0.45496984825948,untargeted,104.8192367553711,1.584817886352539,48344.1796875
13,650,0.4579705570367925,untargeted,107.56285095214844,1.6334806680679321,49601.34375
14,700,0.4596963495796914,untargeted,110.15686798095703,1.7297921180725098,50790.375
15,750,0.45950025050317633,untargeted,112.63845825195312,1.8135509490966797,51920.2734375
16,800,0.46867714644924,untargeted,115.041259765625,1.9027349948883057,53022.2109375
17,850,0.4638452800864572,untargeted,117.32005310058594,1.9905376434326172,54061.078125
18,900,0.471216343860042,untargeted,119.490234375,2.069270133972168,55066.5078125
19,950,0.4716315387253972,untargeted,121.6039810180664,2.1535391807556152,56033.640625
20,1000,0.4771608352075588,untargeted,123.62501525878906,2.226609230041504,56968.46484375
21,1050,0.4750213935440371,untargeted,125.57875061035156,2.300302028656006,57859.71484375
22,1100,0.4757882794946031,untargeted,127.52046966552734,2.3541417121887207,58748.9765625
23,1150,0.4763709373798199,untargeted,129.35928344726562,2.419226884841919,59591.6953125
24,1200,0.47950992215286803,untargeted,131.15284729003906,2.482340097427368,60415.73828125
25,1250,0.4798487980939982,untargeted,132.8797149658203,2.538029670715332,61209.51953125
26,1300,0.4842067176689472,untargeted,134.55206298828125,2.581556797027588,61979.2578125
27,1350,0.48336393132165856,untargeted,136.17613220214844,2.6265692710876465,62728.8046875
28,1400,0.48501009094876923,untargeted,137.76181030273438,2.6837310791015625,63450.8203125
29,1450,0.48573586214348197,untargeted,139.2891082763672,2.745567798614502,64154.84375
30,1500,0.4816074403635516,untargeted,140.8099822998047,2.7910797595977783,64849.75390625
31,1550,0.48344442070674126,untargeted,142.27293395996094,2.8408541679382324,65522.89453125
32,1599,0.49071547293397433,untargeted,143.68496704101562,2.883763313293457,66174.140625
