,Iteration,Linf,L2
0,5,"tensor(0.0907, device='cuda:0')","tensor(287.2723, device='cuda:0')"
1,10,"tensor(0.1150, device='cuda:0')","tensor(1246.3090, device='cuda:0')"
2,15,"tensor(0.1576, device='cuda:0')","tensor(3415.7905, device='cuda:0')"
3,20,"tensor(0.3355, device='cuda:0')","tensor(7637.4165, device='cuda:0')"
4,25,"tensor(0.4553, device='cuda:0')","tensor(14507.4355, device='cuda:0')"
5,30,"tensor(0.6187, device='cuda:0')","tensor(27073.5273, device='cuda:0')"
6,35,"tensor(0.8268, device='cuda:0')","tensor(48878.9219, device='cuda:0')"
7,40,"tensor(1.1189, device='cuda:0')","tensor(87854.9219, device='cuda:0')"
8,45,"tensor(1.4957, device='cuda:0')","tensor(157511.4062, device='cuda:0')"
9,50,"tensor(1.9988, device='cuda:0')","tensor(282222.6250, device='cuda:0')"
10,55,"tensor(2.6795, device='cuda:0')","tensor(505518.1250, device='cuda:0')"
